id,evidence_quote,proposed_target,proposed_value,rationale,confidence
SB-0885,Відноситься до,definitionUa,"Такий, що стосується періоду часу відразу після закінчення війни.","Revised again on review: the recorded defect is the 'Відноситься до' calque and the ill-formed appended clause 'де є припинення конфлікту'. That clause was dropped as redundant rather than repaired/paraphrased, since any paraphrase restating 'after the war ended' duplicates the first clause (tautology). Switched 'Відноситься до' to the house-style adjectival formula 'Такий, що стосується' for consistency with Batch 1 (SB-0043, SB-0428). Two earlier edits were reverted as out-of-scope: 'відразу' was changed back from 'одразу' (interchangeable synonym, not part of the recorded defect, and the same class of change was rejected at Batch 1 SB-0328 'або'->'чи'), and 'періоду часу' was restored in full (dropping 'часу' was not the recorded defect either). Narrow-token/phrase case: only the calque phrase and the ill-formed clause were touched; everything else is frozen text verbatim. REVIEWER NOTE: «періоду часу» is pleonastic and «відразу»/«одразу» are interchangeable; both were left as frozen because neither is part of the recorded defect.",high
SB-0899,Замовити,definitionUa,Призначати (лікарський засіб або медичний пристрій) для використання конкретним пацієнтом (за ліцензією).,"Narrow-token case: 'Замовити' means 'to order/purchase', not the medical sense of 'prescribe'. Replaced with 'Призначати', matching the accepted ua gloss 'призначати' and the bank's imperfective-verb convention for verb definitions. Nothing else in the sentence altered.",high
SB-0907,Здатний бути розумно припущеним,definitionUa,Як можна обґрунтовано припустити; імовірно.,"Revised on review: pass-1 value 'Ймовірно, наскільки можна обґрунтовано припустити.' read as two disconnected fragments spliced by a comma rather than one adverbial definition. Whole-definition judgement unchanged -- the frozen text still defines the adjective 'presumable' ('capable of being reasonably presumed'), not the adverb 'presumably' -- but the replacement is now phrased as a single coherent adverbial predicate, 'Як можна обґрунтовано припустити; імовірно.', consistent with the accepted ua gloss 'мабуть'.",high
SB-1003,мати постійне місце проживання на час,definitionUa,Проживати постійно або на тривалий час; мати постійне місце проживання; залишатися надовго.,Narrow-token case: 'постійне ... на час' is self-contradictory ('permanent' vs 'for a time'). Removed only the contradictory 'на час' qualifier; the surrounding three-clause structure and the other two clauses are preserved exactly.,high
SB-1048,Як з'являється,definitionUa,Як видається; мабуть.,"Narrow-token case: 'з'являтися' means 'to physically appear/show up', a false-friend calque of the sense needed here. Replaced with 'як видається', the idiomatic Ukrainian equivalent of 'as it seems'. Trailing '; мабуть.' left untouched.",high
SB-1111,зазвичай із десяти членів,definitionUa,"Група людей, організована для якоїсь спільної мети.","Narrow-token case: the claim that a squad 'usually' has ten members is over-specific and not true across military (varies ~8-13) or nonmilitary (sports/work 'squad') senses, so the false numeric qualifier was dropped, leaving the accurate general clause intact. REVIEWER NOTE: the ua gloss 'загін' carries a mainly military/paramilitary connotation in Ukrainian and may read oddly for nonmilitary senses of 'squad' (e.g. a sports squad); this was not part of the recorded defect and is left for separate review.",medium
SB-1149,слідує за іншою у займанні посади чи титулу,definitionUa,"Особа або річ, яка безпосередньо змінює іншу на посаді чи титулі.","Narrow-token/phrase case: 'слідує за... у займанні посади' is a clunky bureaucratic calque of 'follows... in occupying a position'. Replaced with the idiomatic nominal construction 'безпосередньо змінює іншу на посаді чи титулі' ('directly succeeds/replaces another in a position or title'), matching the noun-definition convention. Opening 'Особа або річ, яка' preserved verbatim.",high
SB-1168,особливо в полоні; подати або поступитися,definitionUa,"Віддатися у владу іншого, особливо потрапляючи в полон; піддатися або поступитися.","Narrow-token/phrase case: 'особливо в полоні' (manner clause 'especially in captivity') was ungrammatical as attached; recast as 'особливо потрапляючи в полон' ('especially by falling into captivity'). 'подати' does not mean 'to submit/give way' in Ukrainian (its primary sense is 'to hand in/serve a document'); corrected to 'піддатися'. Opening clause 'Віддатися у владу іншого' preserved verbatim. REVIEWER NOTE: 'Віддатися' is perfective, while this bank's stated convention is imperfective verbal predicates for verb definitions (cf. accepted ua gloss 'здатися', also perfective); this aspect mismatch predates and is separate from the recorded defect, so it was left unchanged and flagged for separate review.",medium
SB-1171,Дія підозрювати,definitionUa,"Підозрювання чогось або когось, особливо в чомусь поганому.","Revised on review: pass-1 accidentally reordered the frozen 'щось або когось' to 'когось або чогось' and changed 'в' to 'у', neither of which was part of the recorded defect ('Дія підозрювати' and 'в чомусь недобре'). Restored the frozen order and kept 'в' (Ukrainian euphony prefers 'в' after a vowel, and 'особливо' ends in -о). Separately, nominalising the verb to 'Підозрювання' changes the government of its complement: a deverbal noun cannot take an accusative object, so the inanimate 'щось' (accusative=nominative for inanimates) must become genitive 'чогось'; the animate 'когось' is unchanged because Ukrainian accusative and genitive already coincide for animates, so 'когось' is correct in both readings. This case change is made explicitly as part of the recorded fix, not a silent addition. 'в чомусь недобре' (adverb where an adjective is required) is still corrected to 'в чомусь поганому'. REVIEWER NOTE: the frozen 'Дія підозрювати' resembles a mangled form of the standard Ukrainian dictionary formula «Дія за значенням підозрювати»; if that formula is house style for deverbal noun entries, it may be the better target than 'Підозрювання'. Flagged for the coordinator/adjudicator to decide; not switched unilaterally.",medium
SB-1247,студент,ua,студент бакалаврату,"Cross-field case: definitionUa ('Студент університету, який ще не отримав наукового ступеня') already carries the correct, precise 'undergraduate' meaning and was left untouched per the rule against rewriting the field already carrying the correct, more precise meaning. The ua gloss 'студент' is broader (covers graduate/PhD students too) and is the field responsible for the inconsistency, so it was narrowed to 'студент бакалаврату', the natural contemporary Ukrainian term for an undergraduate student. REVIEWER NOTE: definitionUa says «який ще не отримав наукового ступеня», but in Ukrainian academic usage «науковий ступінь» denotes a research degree (кандидат/доктор), whereas a bachelor's is an «освітній ступінь». So the frozen definition is arguably imprecise in its own right. Outside the recorded cross-field defect; flagged, not changed.",medium
