id,word,pos,ua,definitionUa,semantic_fidelity,idiomatic_ukrainian,grammar_morphology_syntax_punctuation_word_order,pos_alignment,learner_register,russianism_surzhyk_calque_risk,ua_definition_consistency,pedagogical_accuracy,ui_formatting_integrity,pass_a_disposition,category,confidence,rationale,proposed_target,proposed_value
SB-0445,endless,adj.,нескінченний,Не маючи кінця.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P2,pos-alignment,medium,"«Не маючи кінця» is an adverbial participle, not a direct adjective definition.",definitionUa,"Такий, що не має кінця; нескінченний."
SB-0446,endorse,v.,схвалити,"Виражати підтримку чи схвалення, особливо офіційно чи публічно; надати індосамент.",PASS,DEFECT,PASS,PASS,DEFECT,PASS,PASS,DEFECT,PASS,P1,learner-register,high,The unexplained specialist borrowing «індосамент» is inappropriate in a general definition of endorse.,definitionUa,Публічно або офіційно висловлювати підтримку чи схвалення.
SB-0453,enquire,v.,запитувати,"Просити інформацію або ставити запитання, щоб щось з’ясувати.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0455,enrol,v.,зарахувати,"Офіційно записати або записатися на курс, програму чи до установи.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0457,enterprise,n.,підприємство,"Компанія, бізнес, організація чи інша цілеспрямована діяльність.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0458,enthusiast,n.,ентузіаст,"Людина, сповнена або керована ентузіазмом.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0460,entity,n.,сутність,"Те, що існує як окрема одиниця, часто використовується для організацій, які не мають фізичної форми.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0464,erect,v.,звести,Збирати шляхом з’єднання матеріалів або частин.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0466,essence,n.,суть,Внутрішня природа речі або ідеї.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0468,eternal,adj.,вічний,Триває назавжди; нескінченний.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0470,evoke,v.,викликати,"Викликати прояв чогось (емоції, картини тощо) в чиємусь розумі чи уяві.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0471,evolutionary,adj.,еволюційний,Відносно біологічної теорії еволюції або до неї.,PASS,DEFECT,DEFECT,DEFECT,PASS,DEFECT,PASS,PASS,PASS,P1,calque-russianism,high,«Відносно ... або до неї» is a malformed Russian-influenced calque.,definitionUa,Пов’язаний з еволюцією або теорією еволюції.
SB-0472,exaggerate,v.,перебільшувати,"Перебільшувати, описувати більше, ніж факт.",PASS,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,"The definition is circular and «описувати більше, ніж факт» is not idiomatic Ukrainian.",definitionUa,"Представляти щось більшим, кращим, гіршим або важливішим, ніж воно є насправді."
SB-0475,excess,"n., adj.",надлишок,"Стан перевищення або виходу за межі; стан поза достатністю, необхідністю або обов'язком; більше, ніж те, що є звичайним або належним.",DEFECT,PASS,PASS,DEFECT,PASS,PASS,DEFECT,DEFECT,PASS,P1,pos-alignment,high,"The source is noun and adjective, but ua and the definition cover only the noun sense.",ua+definitionUa,"ua: надлишок; надмірний | definitionUa: Кількість понад необхідну норму; також більший, ніж потрібно або дозволено."
SB-0478,exclusively,adv.,виключно,на виключення будь-чого або будь-кого іншого; виключно або цілком,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,DEFECT,P1,calque-russianism,high,Lowercase «на виключення» is an unidiomatic calque and the definition lacks terminal punctuation.,definitionUa,"Лише для когось або чогось, без залучення інших; винятково."
SB-0479,execute,v.,виконувати,Здійснювати; ввести в дію.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0480,execution,n.,виконання,"Дія, спосіб або стиль виконання (дій, маневрів, вистав).",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0482,exile,n.,вигнання,Стан вигнання з дому чи країни.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0485,experimental,adj.,експериментальний,Відносно або засноване на експерименті.,PASS,DEFECT,DEFECT,DEFECT,PASS,DEFECT,PASS,PASS,PASS,P1,calque-russianism,high,«Відносно» is a Russian-influenced calque and neuter «засноване» does not agree with the adjective.,definitionUa,"Такий, що стосується експерименту або ґрунтується на ньому."
SB-0489,exploitation,n.,експлуатація,Неправомірне використання чого-небудь в корисливих цілях.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0492,extremist,n.,екстреміст,"Людина, яка дотримується крайніх поглядів, особливо той, хто відстоює такі погляди; радикал або фанатик.",PASS,PASS,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,P2,grammar-syntax,medium,Masculine «той» does not agree with feminine «людина».,definitionUa,"Людина, яка дотримується або активно обстоює крайні погляди; радикал."
