id,word,pos,ua,definitionUa,ax_semantic,ax_natural,ax_grammar,ax_pos,ax_register,ax_calque,ax_consistency,ax_pedagogical,ax_ui,disposition,confidence,category,proposed_target,proposed_value,rationale
SB-1713,tension,word family,напруга,"Умова перебування в стані між двома або більше силами, які діють протилежно одна одній.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,tension → «напруга»; definition (a condition of being between two or more opposing forces) is accurate; noun POS matches.
SB-0471,evolutionary,adj.,еволюційний,Відносно біологічної теорії еволюції або до неї.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,evolutionary → «еволюційний»; definition (relating to the biological theory of evolution) is accurate; adjective POS matches.
SB-1771,encountered,word family,зіткнувся,"Зустріти (когось) або знайти (щось), особливо несподівано.",pass,pass,pass,flag,pass,pass,pass,pass,pass,P2,low,citation-form,ua,що зустрів; натрапив (на),"encountered glossed «зіткнувся» is a 3sg masculine past finite verb, an inconsistent citation for a word-family entry (peers use participles/impersonals); the definition itself is fine."
SB-0241,configuration,n.,конфігурація,"Взаємне розташування набору речей; те, як речі розташовані або зібрані;",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,configuration → «конфігурація»; definition (the mutual arrangement of a set of things; how things are arranged or assembled) is accurate; noun POS matches.
SB-0974,refuge,n.,притулок,"Місце, що забезпечує безпеку, захист або притулок.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"refuge → «притулок»; definition (a place providing safety, protection or shelter) is accurate; noun POS matches."
SB-0802,nominate,v.,номінувати,"Назвати когось кандидатом на певну роль або посаду, включно з посадою.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,nominate → «номінувати»; definition (to name someone as a candidate for a role or office) is accurate despite the redundant «включно з посадою»; verb POS matches.
SB-1769,convinced,word family,переконаний,"У стані віри, особливо на основі доказів, але не обов'язково.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,"convinced → «переконаний»; definition (in a state of belief, esp. based on evidence) conveys the sense despite the trailing «але не обов'язково»; adjective POS matches."
SB-0243,confirmation,n.,підтвердження,"Перевірка того, що щось правдиве або трапилося.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,confirmation → «підтвердження»; definition (verification that something is true or has happened) is accurate; noun POS matches.
SB-0728,magnitude,n.,величина,"Абсолютний або відносний розмір, ступінь або важливість чогось.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"magnitude → «величина»; definition (the absolute or relative size, degree or importance of something) is accurate; noun POS matches."
SB-0117,battlefield,n.,поле бою,"Область, де ведеться наземна битва, яка не обов’язково може бути полем.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"battlefield → «поле бою»; definition (an area where a land battle is fought, not necessarily a field) is accurate; noun POS matches."
SB-0261,constitutional,adj.,конституційний,"Що стосується юридичної чи політичної конституції («основний закон нації чи установи; формальна чи неофіційна система первинних принципів і законів, які регулюють діяльність уряду чи іншої установи»).",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,constitutional → «конституційний»; definition (relating to a legal or political constitution) is accurate; adjective POS matches.
SB-1716,uniform,word family,уніформа,"Відмітний одяг, який служить для ідентифікації членів групи, компанії, ув'язнених тощо.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"uniform → «уніформа»; definition (distinctive clothing identifying members of a group, company, prisoners etc.) is accurate; noun POS matches."
SB-0736,manipulation,n.,маніпуляція,Практика маніпулювання або стан маніпулювання.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,manipulation → «маніпуляція»; definition (the practice or state of manipulating) is near-circular but not misleading; noun POS matches.
SB-1522,parameters,word family,параметри,"Значення, яке залишається постійним під час експерименту, рівняння, розрахунку чи подібного, але змінюється в інших версіях експерименту, рівняння, розрахунку тощо.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,parameters → «параметри»; definition (a value held constant within an experiment but varied across versions) is accurate; plural noun POS matches.
SB-1591,author,word family,автор,"Автор або творець твору, особливо літературного твору; або один із творців спільного твору.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"author → «автор»; definition (the writer or creator of a work, esp. literary; a co-creator) is accurate; noun POS matches."
SB-0041,aftermath,n.,наслідки (переважно негативні),"Те, що відбувається після, те, що слідує, зазвичай має яскраво негативний відтінок у більшості контекстів, натякаючи на попередню катастрофу.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"aftermath → «наслідки (переважно негативні)»; definition (what follows, usually with a strongly negative connotation, implying a prior disaster) is accurate; noun POS matches."
SB-0402,divine,adj.,божественний,Від бога або стосовно нього.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,divine → «божественний»; definition (from or relating to a god) is accurate; adjective POS matches.
SB-1411,primary,word family,первинний,Перший або найраніший у групі чи серії.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,primary → «первинний»; definition (first or earliest in a group or series) is accurate; adjective POS matches.
SB-0438,empirical,adj.,емпіричний,"Стосовно або засноване на досвіді, на відміну від теорії.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"empirical → «емпіричний»; definition (relating to or based on experience, as opposed to theory) is accurate; adjective POS matches."
SB-1732,controversy,word family,суперечка,Дебати або обговорення протилежних думок; (загалом) сварка.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,controversy → «суперечка»; definition (debate or discussion of opposing opinions; a quarrel) is accurate; noun POS matches.
SB-1579,target,word family,мета,Ціль або завдання.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,target → «мета»; definition (a goal or objective) is accurate; noun POS matches.
SB-0480,execution,n.,виконання,"Дія, спосіб або стиль виконання (дій, маневрів, вистав).",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"execution → «виконання»; definition (the action, manner or style of carrying out actions, manoeuvres or performances) is accurate; noun POS matches."
SB-0965,reassure,v.,заспокоювати,Запевнити заново; відновити довіру до; звільнитися від страху чи невпевненості в собі.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,reassure → «заспокоювати»; definition (to assure again; to restore confidence; to free from fear or self-doubt) is accurate; verb POS matches.
SB-0003,absence,n.,відсутність,Стан віддаленості або відстороненості від місця чи спілкування,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,absence → «відсутність»; definition (the state of being away or apart from a place or communication) is accurate; noun POS matches.
SB-0539,gaze,"n., v.",погляд,Дивитися пильно або серйозно.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"gaze → «погляд»; definition (to look steadily or intently) covers the n.,v. senses; POS tag matches."
SB-1250,undoubtedly,adv.,безсумнівно,Без сумніву; однозначно.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,undoubtedly → «безсумнівно»; definition (without doubt; unambiguously) is accurate; adverb POS matches.
SB-1665,quotation,word family,цитата,"Фрагмент людського виразу, який повторює хтось інший, наприклад, з літератури чи відомої промови.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"quotation → «цитата»; definition (a fragment of expression repeated by another, e.g. from literature or a famous speech) is accurate; noun POS matches."
SB-0791,namely,adv.,а саме,Зокрема; тобто.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,namely → «а саме»; definition (specifically; that is) is accurate; adverb POS matches.
SB-0915,privilege,n.,привілей,"Конкретна користь, перевага або послуга; право чи імунітет, яким користуються одні, але не інші; прерогатива, пільговий режим.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,privilege → «привілей»; definition (a specific benefit or advantage; a right or immunity enjoyed by some but not others) is accurate; noun POS matches.
SB-1354,percent,word family,відсоток,"На кожну сотню (використовується з попереднім числівником для утворення іменника, що виражає пропорцію).",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"percent → «відсоток»; definition (per each hundred, forming a noun expressing proportion) is accurate; noun POS matches."
SB-1260,vacuum,n.,вакуум,"Область простору, яка не містить матерії.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,vacuum → «вакуум»; definition (a region of space containing no matter) is accurate; noun POS matches.
SB-1555,expansion,word family,розширення,"Дія, процес або випадок розширення.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,"expansion → «розширення»; definition (the action, process or instance of expanding) is near-circular but not misleading; noun POS matches."
SB-1462,outcomes,word family,результати,"Те, що виробляється або відбувається в результаті події чи процесу.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,outcomes → «результати»; definition (what is produced or happens as a result of an event or process) is accurate; plural noun POS matches.
SB-0192,cling,v.,чіплятися,"Тримати дуже міцно, щоб не впасти.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,cling → «чіплятися»; definition (to hold very tightly so as not to fall) is accurate; verb POS matches.
SB-0019,accusation,n.,звинувачення,Акт обвинувачення.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,accusation → «звинувачення»; definition (the act of accusing) is near-circular but not misleading; noun POS matches.
