id,word,pos,ua,definitionUa,ax_semantic,ax_natural,ax_grammar,ax_pos,ax_register,ax_calque,ax_consistency,ax_pedagogical,ax_ui,disposition,confidence,category,proposed_target,proposed_value,rationale
SB-1280,violate,v.,порушувати,Порушувати або нехтувати (правилом або конвенцією).,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,violate → «порушувати»; definition (breach or disregard a rule or convention) is accurate; verb POS matches.
SB-0093,assurance,n.,запевнення,"Акт запевнення; заява, яка має викликати повну довіру; щось, створене для того, щоб надати комусь впевненості.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,assurance → «запевнення»; definition (the act of assuring; a statement meant to inspire confidence) is accurate; noun POS matches.
SB-1647,finite,word family,кінцевий,"Такий, що має визначену межу, кінець або обмежену кількість.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"finite → «кінцевий»; definition (having a definite limit, end or bounded quantity) is accurate; adjective POS matches."
SB-1208,tighten,v.,затягувати,Зробити щільніше.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,tighten → «затягувати»; definition (to make tighter/denser) is accurate; verb POS matches.
SB-1122,stereotype,n.,стереотип,"Загальноприйняте, шаблонне та часто надто спрощене або перебільшене уявлення, думка чи образ (особи чи групи людей).",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"stereotype → «стереотип»; definition (a widely held, oversimplified image of a person or group) is accurate; noun POS matches."
SB-0856,pathway,n.,шлях,Пішохідна доріжка або інший шлях чи доріжка.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,pathway → «шлях»; definition (a footpath or other track) conveys the sense though it restates «шлях/доріжка»; noun POS matches.
SB-0338,defy,v.,кинути виклик,Відмовлятися підкорятися.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,defy → «кинути виклик»; definition (to refuse to obey) is accurate; verb POS matches.
SB-1363,role,word family,роль,Очікувана поведінка індивіда в суспільстві.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,role → «роль»; definition (the expected behaviour of an individual in society) is accurate; noun POS matches.
SB-1434,constant,word family,постійний,Незмінний у часі чи просторі; постійний.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,constant → «постійний»; definition (unchanging in time or space) is accurate though it restates the gloss; adjective POS matches.
SB-1558,fundamental,word family,фундаментальний,Основний; надзвичайно важливо.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,fundamental → «фундаментальний»; definition (basic; extremely important) conveys the sense; adjective POS matches.
SB-1108,spotlight,n.,центр уваги; прожектор,Центр уваги; головна або найважливіша частина.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,spotlight → «центр уваги; прожектор»; definition (the focus of attention; the main or most important part) is accurate; noun POS matches.
SB-0360,detain,v.,затримувати,"Перешкоджати комусь продовжити, стримуючи їх або висуваючи претензії на їх увагу.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,detain → «затримувати»; definition (prevent someone from proceeding by holding them back or claiming their attention) is accurate; verb POS matches.
SB-1400,institute,word family,інститут,"Організація, заснована для просування справи",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,institute → «інститут»; definition (an organisation founded to promote a cause) is accurate; noun POS matches.
