id,word,pos,ua,definitionUa,pass_a_disposition,pass_a_rationale,pass_b_disposition,pass_b_rationale,evidence_quote,final_disposition,confidence,category,rationale,proposed_target,proposed_value
SB-1560,generation,word family,покоління,"Група людей, які народилися в певний період років і члени якої можуть мати культурні стосунки один з одним.",P1,"«Певний період років» and «культурні стосунки» are literal, unidiomatic renderings.",clean-candidate,generation → «покоління»; definition (people born in a certain period sharing cultural ties) is accurate; noun POS matches.,культурні стосунки,P1,high,calque-russianism,"«певний період років» and «культурні стосунки» are literal, unidiomatic renderings — the calque is confirmed.",definitionUa,"Група людей, народжених приблизно в один період і сформованих спільними історичними та культурними умовами."
SB-0623,inherent,adj.,властивий,"Природно, як частина або наслідок чогось.",P2,"«Природно, як частина» is a fragment rather than an adjective definition.",clean-candidate,"inherent → «властивий»; definition (naturally, as a part or consequence of something) captures the adjective sense.","Природно, як частина",P2,high,grammar-syntax,"«Природно, як частина або наслідок чогось» is a fragment rather than an adjective definition for inherent — confirmed (Pass A P2).",definitionUa,Властивий чомусь від природи й невіддільний від нього.
SB-1750,qualitative,word family,якісний,"Описів або відмінностей, заснованих на певній якості, а не на певній кількості.",P1,Genitive plural «Описів або відмінностей» has no governing word and does not define the adjective.,clean-candidate,qualitative → «якісний»; definition (of descriptions/differences based on quality rather than quantity) conveys the sense; adjective POS matches.,Описів або відмінностей,P1,high,grammar-syntax,genitive plural «Описів або відмінностей» has no governing word and does not define the adjective qualitative — confirmed.,definitionUa,"Заснований на якості, властивостях або описі, а не на числовій кількості."
SB-1373,achieve,word family,досягти,Успішно виконувати; виконати.,P2,The definition mixes imperfective and perfective near-synonyms without clarifying achieve.,clean-candidate,achieve → «досягти»; definition (to carry out successfully; to accomplish) is accurate; verb POS matches.,Успішно виконувати; виконати,P2,high,aspect-alignment,the definition mixes imperfective and perfective near-synonyms without clarifying achieve — confirmed (Pass A P2).,definitionUa,Успішно досягти мети або виконати складне завдання.
SB-1025,rip,v.,рвати; розривати,"Розділяти або відокремлювати частини (особливо чогось тендітного, наприклад, паперу чи тканини), розрізаючи чи розриваючи; гвалтом відірвати або вирвати.",P2,Archaic «гвалтом» is unsuitable in an otherwise contemporary learner definition.,clean-candidate,"rip → «рвати; розривати»; definition (to separate parts, esp. of something fragile like paper or fabric, by cutting or tearing) is accurate; verb POS matches.",гвалтом,P2,high,learner-register,archaic «гвалтом» is unsuitable in an otherwise contemporary learner definition — register confirmed (Pass A P2).,definitionUa,Розривати матеріал або силоміць відривати одну частину від іншої.
SB-1200,thereby,adv.,тим самим,За ним; цим; таким чином або як наслідок цього.,P1,«За ним; цим» does not convey thereby and presents false equivalents.,clean-candidate,thereby → «тим самим»; definition (by that; thus or as a consequence of that) conveys the sense; adverb POS matches.,За ним; цим,P1,high,semantic-fidelity,«За ним; цим» does not convey thereby and presents false equivalents — semantic defect confirmed.,definitionUa,Таким чином або внаслідок цього.
SB-0492,extremist,n.,екстреміст,"Людина, яка дотримується крайніх поглядів, особливо той, хто відстоює такі погляди; радикал або фанатик.",P2,Masculine «той» does not agree with feminine «людина».,clean-candidate,extremist → «екстреміст»; definition (a person holding and advocating extreme views; a radical or fanatic) is accurate; noun POS matches.,"особливо той, хто",P2,high,grammar-syntax,masculine «той» does not agree with feminine «людина» — agreement defect confirmed (Pass A P2).,definitionUa,"Людина, яка дотримується або активно обстоює крайні погляди; радикал."
SB-1432,components,word family,компоненти,"Менша самодостатня частина більшої сутності. Часто стосується виготовленого об’єкта, який є частиною більшого пристрою.",P1,Plural components is defined as one smaller part.,clean-candidate,components → «компоненти»; definition (a smaller self-contained part of a larger entity) is accurate; plural noun POS matches.,Менша самодостатня частина,P1,high,number-agreement,plural components is defined as one «Менша самодостатня частина» — number-agreement confirmed.,definitionUa,"Окремі частини, з яких складається більша система або предмет."
SB-1037,saint,n.,святий,"Померла особа, яку церква чи інша релігійна група офіційно визнала особливо святою чи благочестивою; один видатний для благочестя та чесноти.",P1,The second clause «один видатний для благочестя» is an unintelligible literal calque.,clean-candidate,saint → «святий»; definition (deceased person recognised as holy by a church) is accurate; noun POS matches.,один видатний для благочестя,P1,high,grammar-syntax,«один видатний для благочестя» is an unintelligible literal calque — confirmed.,definitionUa,"Особа, яку релігійна спільнота вважає особливо святою або зразково благочестивою."
SB-0377,diplomat,n.,дипломат,"Особа, наприклад посол, яка офіційно акредитована представляти уряд у його відносинах з іншими урядами чи міжнародними організаціями",P2,The definition is missing terminal punctuation.,clean-candidate,diplomat → «дипломат»; definition (accredited official representing a government abroad) is accurate; missing terminal period is trivial.,чи міжнародними організаціями,P2,high,ui-formatting,"the definition is missing terminal punctuation — cosmetic P2, confirmed.",definitionUa,"Особа, наприклад посол, офіційно уповноважена представляти уряд у відносинах з іншими державами чи міжнародними організаціями."
SB-1073,simultaneously,adv.,одночасно,Відбувається одночасно.,P2,Finite «Відбувається» does not directly define the adverb simultaneously.,clean-candidate,simultaneously → «одночасно»; definition (happening at the same time) is accurate; adverb POS matches.,Відбувається одночасно.,P2,high,pos-alignment,finite «Відбувається» does not directly define the adverb simultaneously — confirmed (Pass A P2).,definitionUa,В один і той самий час; одночасно.
SB-1384,computer,word family,комп'ютер,"Програмований електронний пристрій, який виконує математичні обчислення та логічні операції, особливо той, який може дуже швидко обробляти, зберігати та отримувати великі обсяги даних;",P2,The definition ends with a semicolon instead of terminal punctuation.,clean-candidate,computer → «комп'ютер»; definition (programmable electronic device performing calculations/logic) is accurate; trailing semicolon is trivial formatting.,великі обсяги даних;,P2,high,ui-formatting,"the definition ends with a semicolon instead of terminal punctuation — cosmetic P2, confirmed.",definitionUa,"Програмований електронний пристрій, що обробляє, зберігає й відтворює дані та виконує обчислення."
SB-1627,subsidiary,word family,дочірнє підприємство,"Компанія, що належить материнській компанії або холдинговій компанії, також називається дочірньою компанією або дочірньою компанією.",P2,The definition repeats «дочірня компанія» twice.,P2,"subsidiary definition repeats «дочірньою компанією або дочірньою компанією» (identical phrase either side of 'або'), a redundant repetition; the gloss is correct.",дочірньою компанією або дочірньою компанією,P2,high,pedagogical-definition,the definition repeats «дочірня компанія» twice around 'або' — both passes agree P2.,definitionUa,"Компанія, яку контролює материнська або холдингова компанія."
SB-0519,footage,n.,кадри,"Кількість плівки або стрічки, яка була використана для запису чогось.",P1,"Footage means recorded moving-image material, not the amount of film or tape consumed.",clean-candidate,footage → «кадри»; definition (the amount of film/tape used to record something) conveys the sense; noun POS matches.,Кількість плівки або стрічки,P1,high,semantic-fidelity,"footage is recorded moving-image material, not «Кількість плівки або стрічки» consumed — semantic defect confirmed.",definitionUa,"Відеоматеріал або кадри, записані для фільму, телебачення чи іншої мети."
SB-1653,identical,word family,однакові,"Маючи повну схожість, маючи абсолютно однаковий набір характеристик; нерозрізнений.",P1,Plural ua «однакові» and participial definition do not align with singular identical.,clean-candidate,"identical → «однакові»; definition (having complete similarity, exactly the same set of characteristics; indistinguishable) is accurate; adjective POS matches.",Маючи повну схожість,P1,high,number-agreement,plural ua «однакові» and the participial definition do not align with the singular adjective identical — confirmed.,both,ua: однаковий; ідентичний | definitionUa: Цілком такий самий за всіма істотними ознаками.
SB-0993,renew,v.,відновити,Знову робити (щось) нове; для відновлення свіжості або початкового стану.,P1,The second clause begins with the purpose phrase «для відновлення» instead of continuing the verb definition.,clean-candidate,renew → «відновити»; definition (to make new again; to restore freshness or original condition) is accurate; verb POS matches.,для відновлення свіжості,P1,high,grammar-syntax,the second clause begins with the purpose phrase «для відновлення» instead of continuing the verb definition of renew — confirmed.,definitionUa,"Відновлювати свіжість, чинність або початковий стан; робити новим знову."
SB-1522,parameters,word family,параметри,"Значення, яке залишається постійним під час експерименту, рівняння, розрахунку чи подібного, але змінюється в інших версіях експерименту, рівняння, розрахунку тощо.",P1,Plural parameters is defined as one value.,clean-candidate,parameters → «параметри»; definition (a value held constant within an experiment but varied across versions) is accurate; plural noun POS matches.,"Значення, яке залишається постійним",P1,high,number-agreement,plural parameters is defined as one «Значення» — number-agreement confirmed.,definitionUa,"Значення або умови, що визначають систему, обчислення чи експеримент."
SB-0134,bleed,v.,кровоточити,Пролити кров через ушкоджену кровоносну судину.,P1,The transitive perfective phrase «Пролити кров» does not define the intransitive verb кровоточити.,clean-candidate,bleed → «кровоточити»; definition (to shed blood through a damaged blood vessel) is accurate; verb POS matches.,Пролити кров,P1,high,semantic-fidelity,the transitive perfective «Пролити кров» does not define the intransitive verb кровоточити — confirmed.,definitionUa,Втрачати кров через ушкодження кровоносної судини.
SB-0567,handling,n.,поводження,"Торкатися, контролювати, керувати, використовувати, піклуватися тощо рукою або руками або як руками.",P1,The ending «або як руками» is nonsensical and leaves handling undefined.,clean-candidate,"handling → «поводження»; definition (touching, controlling, managing or using with the hands) conveys the sense despite the verb-framed phrasing; noun POS matches.",або як руками,P1,high,grammar-syntax,the ending «або як руками» is nonsensical and leaves handling undefined — confirmed.,definitionUa,"Спосіб поводження з предметом, ситуацією або питанням; керування чи оброблення."
SB-1293,weave,v.,плести,Сформувати щось шляхом пропускання відрізків або ниток матеріалу один під одним.,P1,Weaving alternates material over and under; the definition says only one under another.,clean-candidate,weave → «плести»; definition (to form something by passing lengths or threads of material under one another) is accurate; verb POS matches.,один під одним,P1,high,semantic-fidelity,weaving alternates material over and under; the definition says only «один під одним» — semantic defect confirmed.,definitionUa,"Утворювати тканину або інший виріб, переплітаючи нитки чи смуги над і під одна одною."
SB-0865,petition,n.,петиція,"Офіційний письмовий запит, зроблений окремою особою чи групою людей до суверенної чи політичної влади, який часто містить багато підписів, із проханням про якусь благодать, право, милосердя або виправлення якоїсь кривди чи...",P1,The learner-facing definition is physically truncated at «кривди чи...» and is incomplete.,P2,"petition definition is truncated mid-clause, ending in a dangling «кривди чи...»; the gloss «петиція» is correct but the learner sees an unfinished sentence.",кривди чи,P1,high,ui-truncation,the learner-facing definition is physically truncated mid-clause at «…кривди чи…» — broken text confirmed over Pass B's P2.,definitionUa,"Офіційне письмове звернення до влади з проханням про дію або зміну, часто підписане багатьма людьми."
SB-0122,beloved,adj.,коханий,"Дуже любив, ніжно любив.",P1,Past-tense «Дуже любив» neither agrees with nor defines the adjective beloved.,P2,"beloved (adj) is defined with past-tense verb forms «Дуже любив, ніжно любив» ('loved'), a POS mismatch; an adjectival definition is needed.","Дуже любив, ніжно любив",P1,high,grammar-syntax,past-tense «Дуже любив» neither agrees with nor defines the adjective beloved — POS/grammar defect confirmed over Pass B's P2.,definitionUa,Дуже дорогий або коханий.
SB-0313,crush,v.,розчавити,"Натиснути між двома твердими предметами; стискати так, щоб змінити природну форму чи цілісність, або згуртовувати в масу.",P1,«Згуртовувати в масу» is the wrong verb and obscures the physical crush sense.,clean-candidate,"crush → «розчавити»; definition (press between two hard objects, deforming or compacting) is accurate; verb POS matches.",згуртовувати в масу,P1,high,semantic-fidelity,«згуртовувати в масу» is the wrong verb and obscures the physical crush sense — confirmed.,definitionUa,"Сильно стискати або розчавлювати щось так, що воно деформується чи руйнується."
SB-1650,grade,word family,клас,"Виконання тесту чи іншого оцінювання, виражене цифрою, літерою чи іншим символом; оцінка.",P1,ua «клас» conflicts with the definition's assessment-mark sense.,clean-candidate,grade → «клас»; definition (result of a test expressed as a number/letter; a mark) is accurate; noun POS matches.,Виконання тесту,P1,high,ua-definition-consistency,ua «клас» conflicts with the definition's assessment-mark sense — ua↔definition inconsistency confirmed.,both,"ua: оцінка | definitionUa: Результат оцінювання, виражений числом, літерою чи іншим символом."
SB-0790,mutual,adj.,взаємний,"Маючи однакові відносини, один до одного.",P1,"«Маючи однакові відносини, один до одного» is grammatically broken and not an adjective definition.",clean-candidate,"mutual → «взаємний»; definition (having the same relation, one to another) is accurate; adjective POS matches.","Маючи однакові відносини, один до одного",P1,high,grammar-syntax,"«Маючи однакові відносини, один до одного» is grammatically broken and is not an adjective definition of mutual — confirmed.",definitionUa,"Спільний для двох чи більше сторін або такий, що діє взаємно."
SB-1661,phenomenon,word family,явище,"Річ або істота, подія або процес, що сприймаються органами чуття; або факт чи подія цього.",P1,The ending «факт чи подія цього» is grammatically meaningless.,clean-candidate,"phenomenon → «явище»; definition (a thing, event or process perceived by the senses) is accurate; noun POS matches.",факт чи подія цього,P1,high,grammar-syntax,the ending «факт чи подія цього» is grammatically meaningless — confirmed.,definitionUa,"Подія, факт або процес, які можна спостерігати чи досліджувати."
SB-1129,strategic,adj.,стратегічний,Відносно стратегії.,P1,«Відносно стратегії» is a Russian-influenced calque and not a complete adjective definition.,clean-candidate,strategic → «стратегічний»; definition (relating to strategy) is accurate; adjective POS matches.,Відносно стратегії.,P1,high,calque-russianism,«Відносно стратегії» is a Russian-influenced calque and not a complete adjective definition — confirmed.,definitionUa,Пов’язаний зі стратегією або важливий для досягнення довгострокової мети.
