id,word,pos,ua,definitionUa,semantic_fidelity,idiomatic_ukrainian,grammar_morphology_syntax_punctuation_word_order,pos_alignment,learner_register,russianism_surzhyk_calque_risk,ua_definition_consistency,pedagogical_accuracy,ui_formatting_integrity,pass_a_disposition,category,confidence,rationale,proposed_target,proposed_value
SB-0001,abolish,v.,скасувати,"Припинення закону, системи, установи, звичаю чи практики.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0003,absence,n.,відсутність,Стан віддаленості або відстороненості від місця чи спілкування,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0006,abundance,n.,достаток,Велика кількість; багато.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0008,academy,n.,академія,Вищий навчальний заклад; коледж або університет; зазвичай приватна школа.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0010,acceptance,n.,прийняття,"Акт приймання; отримання чогось запропонованого з мовчазною згодою, схваленням або задоволенням; особливо, сприятливий прийом; затвердження.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0012,accomplishment,n.,досягнення,Щось досягнуте; досягнення.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0015,accountability,n.,підзвітність,Стан підзвітності; зобов'язання викликати звіт або дати пояснення; зобов'язання нести відповідальність або відповідати за щось.,PASS,DEFECT,PASS,PASS,PASS,DEFECT,PASS,DEFECT,PASS,P1,calque-russianism,high,The definition contains the literal calque «викликати звіт» and does not give a natural account of accountability.,definitionUa,Обов’язок пояснювати свої дії та нести за них відповідальність.
SB-0016,accountable,adj.,підзвітний,"Зобов'язаний, коли його покличуть, відповідати (за свої вчинки); відповідальний.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0018,accumulation,n.,накопичення,"Акт накопичення або збору, як у купу.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0019,accusation,n.,звинувачення,Акт обвинувачення.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0020,accused,n.,обвинувачений,"Особа, яка обвинувачується у вчиненні правопорушення; фігурант кримінальної справи.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0022,acquisition,n.,придбання,Акт або процес придбання.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0023,acre,n.,акр,"Англійська одиниця площі землі (символ: a. або ac.), яка спочатку позначала денну оранку за ярмо волів, тепер стандартизована як 4840 квадратних ярдів або 4046,86 квадратних метрів.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0025,activist,n.,активіст,"Той, хто є політично активним у ролі громадянина; особливо той, хто бореться за зміни.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0026,acute,adj.,гострий,інтенсивний; чутливий; різкий.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,P2,ui-formatting,medium,"The definition starts with a lowercase letter, inconsistent with the learner UI sentence style.",definitionUa,Інтенсивний; чутливий; різкий.
