id,word,pos,ua,definitionUa,ax_semantic,ax_natural,ax_grammar,ax_pos,ax_register,ax_calque,ax_consistency,ax_pedagogical,ax_ui,disposition,confidence,category,proposed_target,proposed_value,rationale
SB-0170,catalogue,n.,каталог,"Повний (як правило, алфавітний або хронологічний) список елементів.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"«каталог» is the standard equivalent of catalogue; definition correctly frames a complete, usually ordered list; noun POS matches."
SB-0730,mainstream,"n., adj.",мейнстрим; загальноприйнятий напрям,"Те, що загальне; норма.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,mainstream rendered «мейнстрим; загальноприйнятий напрям» — accepted borrowing plus a native gloss; noun/adj senses both covered; def 'норма' fits.
SB-0072,applaud,v.,аплодувати,Виражати схвалення (чогось) плеском у долоні.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,«аплодувати» is the exact verb for applaud; definition (approval by clapping) is accurate and idiomatic.
SB-0939,province,n.,провінція,"Адміністративний підрозділ деяких країн, зокрема Канади та Китаю.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"province → «провінція»; definition names it an administrative division; examples (Canada, China) are apt; noun POS matches."
SB-1640,decades,word family,десятиліть,Періоди тривалістю по десять років.,pass,pass,flag,flag,pass,pass,pass,pass,pass,P2,medium,citation-form-morphology,ua,десятиліття,decades glossed «десятиліть» is genitive plural ('of decades'); the citation form for a plural noun should be nominative «десятиліття».
SB-0668,ironically,adv.,іронічно,В іронічній манері; певною мірою демонструючи іронію.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,«іронічно» matches ironically; adverb POS and manner definition are correct.
SB-0575,haunt,v.,переслідувати,Населяти або часто відвідувати (найчастіше використовується стосовно привидів).,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,haunt → «переслідувати»; definition covers both the ghost sense and 'frequent a place'; verb POS matches.
SB-1238,trio,n.,тріо,Група з трьох людей або речей.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,trio → «тріо»; definition 'group of three' is exact; noun POS matches.
SB-0033,administrator,n.,адміністратор,"Той, хто веде справи; той, хто скеровує, керує, виконує або розпоряджається, чи то в цивільних, судових, політичних чи церковних справах; менеджер.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,administrator → «адміністратор»; definition covers one who manages/directs affairs across domains; noun POS correct.
SB-0632,inspect,v.,оглядати,Вивчати критично або уважно; особливо для пошуку проблем або визначення стану; придивлятися.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"inspect → «оглядати»; definition (examine critically, look for problems) is accurate; verb POS matches."
SB-0852,passive,adj.,пасивний,Піддаватися дії без реакції.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,passive → «пасивний»; definition 'undergo action without reaction' conveys the adjective sense adequately for a learner.
SB-0880,pond,n.,ставок,"Внутрішня водойма зі стоячою водою, природна чи створена людиною, менша за озеро.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"pond → «ставок»; definition (small still inland water body, smaller than a lake) is precise; noun POS matches."
SB-0161,canvas,n.,полотно,"Тип грубої тканини, витканої з конопель, використовується для виготовлення вітрил і наметів або як поверхня для картин.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,canvas → «полотно»; definition (coarse hemp cloth for sails/tents or painting surface) is accurate and complete.
SB-1700,infrastructure,word family,інфраструктура,"Об’єкти, послуги та обладнання, необхідні для функціонування спільноти чи суспільства.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,infrastructure → «інфраструктура»; definition (facilities/services needed for a community) is correct; noun POS matches.
SB-1181,tactic,n.,тактика,"Маневр або дія, спрямована на досягнення якоїсь мети.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,tactic → «тактика»; definition (a maneuver toward a goal) is accurate; noun POS matches.
SB-1513,job,word family,робота,завдання.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,"job → «робота»; definition «завдання.» is terse but gives a valid 'task' sense; lowercase start is trivial house-style, not misleading."
SB-1487,approximated,word family,наближений,Розраховується наближено,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,approximated → «наближений»; definition 'is calculated approximately' conveys the estimation sense; adjective/participle gloss acceptable.
SB-0156,bureaucracy,n.,бюрократія,Уряд через бюро або їхніх адміністраторів чи службовців.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,medium,,,,bureaucracy → «бюрократія»; definition (government via bureaus and their officials) conveys the sense despite slightly literal phrasing.
SB-0921,processor,n.,процесор,"Пристрій, який обробляє, змінює щось (комп’ютерний процесор, кухонний комбайн тощо).",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,processor → «процесор»; definition covers computing and food-processor senses; noun POS matches.
SB-0426,ego,n.,его,"Я, особливо з почуттям власної значущості.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"ego → «его»; definition ('the self, esp. with a sense of self-importance') is accurate; noun POS matches."
SB-1575,rejected,word family,відхилено,Відхилений або не прийнятий після розгляду.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,rejected → «відхилено»; definition (rejected/not accepted after consideration) is accurate and consistent.
SB-0967,rebellion,n.,повстання,Збройний опір встановленому уряду чи правителю.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,rebellion → «повстання»; definition (armed resistance to established government) is accurate; noun POS matches.
SB-0623,inherent,adj.,властивий,"Природно, як частина або наслідок чогось.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"inherent → «властивий»; definition (naturally, as a part or consequence of something) captures the adjective sense."
SB-1394,evaluation,word family,оцінка,"Оцінка, як-от щорічна перевірка продуктивності персоналу, яка використовується як основа для підвищення зарплати чи премії, або короткий опис конкретної ситуації.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,"evaluation → «оцінка»; definition (appraisal, e.g. annual staff review) is accurate; noun POS matches."
SB-1493,communication,word family,спілкування,Концепція або стан обміну даними чи інформацією між об’єктами.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,communication → «спілкування»; definition (exchange of data/information between entities) is accurate; noun POS matches.
SB-0801,nod,v.,кивати,"Нахилити голову вгору-вниз, щоб показати згоду.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,nod → «кивати»; definition (tilt head up-down to show agreement) is accurate; verb POS matches.
SB-0636,institutional,adj.,інституційний,"З, відноситься до, характерний або організований за принципами установи.",pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,institutional → «інституційний»; definition (of/relating to an institution) is accurate; adjective POS matches.
SB-1680,automatically,word family,автоматично,Автоматичним способом.,pass,pass,pass,pass,pass,pass,pass,pass,pass,clean-candidate,high,,,,automatically → «автоматично»; definition 'in an automatic manner' is correct; adverb POS matches.
