id,word,pos,ua,definitionUa,semantic_fidelity,idiomatic_ukrainian,grammar_morphology_syntax_punctuation_word_order,pos_alignment,learner_register,russianism_surzhyk_calque_risk,ua_definition_consistency,pedagogical_accuracy,ui_formatting_integrity,pass_a_disposition,category,confidence,rationale,proposed_target,proposed_value
SB-0894,prejudice,n.,упередження,"Негативне судження чи думка, сформовані заздалегідь або без знання фактів.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0895,preliminary,adj.,попередній,"При підготовці до основної справи; початковий, вступний, підготовчий.",PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P2,pos-alignment,medium,The prepositional phrase «При підготовці» does not directly define the adjective.,definitionUa,"Початковий або підготовчий; такий, що передує основній дії."
SB-0896,premier,n.,прем'єр,Глава уряду в парламенті та лідер кабінету.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0900,prescription,n.,рецепт,"Письмове розпорядження від уповноваженого практикуючого лікаря про надання ліків або інше лікування, наприклад (офтальмологічне) спеціальні лінзи, необхідні для пари окулярів.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0903,preside,v.,головувати,Діяти як президент або голова.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0904,presidency,n.,президентство,Посада або роль президента.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0905,presidential,adj.,президентський,Що стосується президента чи президентства.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0906,prestigious,adj.,престижний,Високого престижу.,PASS,PASS,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,«Високого престижу» is a fragment and circularly repeats the headword.,definitionUa,"Такий, що має високий статус і викликає повагу."
SB-0910,prevalence,n.,поширеність,Якість або умова переважання; широке розширення або поширення.,PASS,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,«Широке розширення» is redundant and the definition remains abstract and circular.,definitionUa,Ступінь поширення явища або частота його наявності в певній групі.
SB-0911,prevention,n.,профілактика,"Будь-які заходи, спрямовані на обмеження ризиків для здоров’я (такі як інформаційні кампанії, вакцинація, рання діагностика тощо).",DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,sense-coverage,high,"The definition restricts prevention to health measures, omitting the general act of stopping something from happening.",definitionUa,"Дії або заходи, спрямовані на те, щоб не допустити небажаної події чи зменшити її ризик."
SB-0912,prey,n.,здобич,"Жива істота, зазвичай тварина, яку їсть інша жива істота.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0914,privatization,n.,приватизація,Передача компанії або організації з державної власності та контролю в приватну.,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,P1,grammar-syntax,high,The phrase ends at «в приватну» without the required noun «власність».,definitionUa,Передача підприємства або організації з державної власності й контролю у приватну власність.
SB-0915,privilege,n.,привілей,"Конкретна користь, перевага або послуга; право чи імунітет, яким користуються одні, але не інші; прерогатива, пільговий режим.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0917,problematic,adj.,проблематичний,Постановка проблеми; мати або страждати від проблеми(-й):,PASS,DEFECT,DEFECT,DEFECT,PASS,PASS,PASS,PASS,DEFECT,P1,grammar-syntax,high,«Постановка проблеми; мати або страждати...» is malformed and ends with an erroneous colon.,definitionUa,"Такий, що створює проблему, викликає труднощі або потребує обережного розгляду."
SB-0919,proceeds,n.,доходи,Дохід; валовий дохід.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0920,processing,n.,обробка,"Дія пошуку, зберігання, класифікації, обробки, передачі тощо даних, особливо за допомогою комп’ютерних технологій.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0921,processor,n.,процесор,"Пристрій, який обробляє, змінює щось (комп’ютерний процесор, кухонний комбайн тощо).",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0924,productivity,n.,продуктивність,"Стан продуктивності, плідності або ефективності.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0925,profitable,adj.,прибутковий,Отримання прибутку.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P2,pos-alignment,medium,The noun phrase «Отримання прибутку» does not directly define the adjective.,definitionUa,"Такий, що приносить прибуток."
SB-0930,propaganda,n.,пропаганда,"Агітація, реклама, публічна комунікація, спрямована на вплив на аудиторію та просування порядку денного.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-0936,prosperity,n.,процвітання,Умова процвітання: наявність удачі та багатства.,PASS,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,idiomatic-ukrainian,medium,«Наявність удачі та багатства» is a stiff and narrow description of prosperity.,definitionUa,"Стан успішного розвитку, добробуту й достатку."
SB-0937,protective,adj.,захисний,Служить або призначений для захисту.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
