id,word,pos,ua,definitionUa,pass_a_disposition,pass_a_rationale,pass_b_disposition,pass_b_rationale,evidence_quote,final_disposition,confidence,category,rationale,proposed_target,proposed_value
SB-0152,buddy,n.,приятель,Друг або випадковий знайомий.,P1,"«Випадковий знайомий» means a chance acquaintance, not a casual friend.",clean-candidate,buddy → «приятель»; definition (a friend or casual acquaintance) is accurate; register matches the informal headword; noun POS correct.,випадковий знайомий,P1,medium,semantic-fidelity,"buddy is a pal/close informal friend; «випадковий знайомий» (a chance acquaintance) mis-teaches the relationship as distant, so Pass A's defect stands over Pass B's clean call.",definitionUa,"Друг або приятель, з яким мають близькі чи невимушені стосунки."
SB-0806,non-profit,adj.,неприбутковий,"Організація або діяльність, основною метою якої не є отримання прибутку.",P2,The definition names an organization or activity instead of directly defining the adjective.,clean-candidate,non-profit → «неприбутковий»; definition (an organisation or activity whose main aim is not making profit) is accurate; adjective POS matches.,Організація або діяльність,P2,medium,pos-alignment,"non-profit is an adjective, but the definition opens by naming «Організація або діяльність»; the sense is recoverable, so a minor POS-framing defect (Pass A), not clean (Pass B).",definitionUa,"Такий, основною метою якого не є отримання прибутку."
SB-1374,administration,word family,адміністрування,Акт адміністрування; управління громадськими справами; надані послуги або взяті на себе обов'язки у веденні справ; ведення будь-якої посади чи роботи; напрямок.,P1,The final «напрямок» is a false rendering of direction as management and breaks the administration sense.,clean-candidate,administration → «адміністрування»; definition (the act of administering; management of public affairs) is accurate; noun POS matches.,напрямок,P1,high,semantic-fidelity,"the trailing «напрямок» renders English 'direction' as bearing/heading, a false sense of administration; Pass A's semantic defect is confirmed against the frozen text.",definitionUa,"Процес управління установою чи справами; також орган або посадовці, які здійснюють таке управління."
SB-1075,situated,adj.,розташований,Знаходиться в конкретному місці.,P2,«Знаходиться» is a Russian-influenced locative choice where Ukrainian prefers «розташований».,clean-candidate,situated → «розташований»; definition (located in a particular place) is accurate; adjective POS matches.,Знаходиться,P2,medium,calque-russianism,«Знаходиться» is a Russian-influenced locative where standard Ukrainian prefers «розташований»; understandable but a real stylistic calque (Pass A P2).,definitionUa,Розташований у певному місці або становищі.
SB-0063,amendment,n.,поправка,Доповнення та/або зміни до Конституції.,P1,"The definition wrongly restricts amendment to a constitution and omits ordinary documents, laws, and agreements.",clean-candidate,"amendment → «поправка»; definition (an addition or change, e.g. to a constitution) is accurate though slightly narrowed to constitutions; noun POS matches.",до Конституції,P1,medium,sense-coverage,"amendment is defined only «до Конституції», misinforming a learner that it is constitution-specific and omitting laws/agreements/documents; Pass A's over-narrowing defect holds.",definitionUa,"Зміна або доповнення до документа, закону чи угоди, зокрема до конституції."
SB-0917,problematic,adj.,проблематичний,Постановка проблеми; мати або страждати від проблеми(-й):,P1,«Постановка проблеми; мати або страждати...» is malformed and ends with an erroneous colon.,P2,problematic definition ends with a dangling colon «...проблеми(-й):» with no following text; content otherwise conveys the sense.,проблеми(-й):,P1,high,grammar-syntax,"the definition is malformed («Постановка проблеми; мати або страждати…») and ends on a dangling colon «проблеми(-й):»; broken learner-facing syntax, so P1 (Pass A) over Pass B's P2.",definitionUa,"Такий, що створює проблему, викликає труднощі або потребує обережного розгляду."
SB-1768,conceived,word family,задуманий,сформований у свідомості,P2,The definition starts lowercase and lacks terminal punctuation.,clean-candidate,conceived → «задуманий»; definition (formed in the mind) conveys the sense despite terse phrasing; consistent gloss.,сформований у свідомості,P2,high,ui-formatting,content is correct; the definition merely starts lowercase and lacks terminal punctuation — a cosmetic P2 (Pass A).,definitionUa,Сформований або створений у свідомості як ідея чи задум.
SB-0761,merger,n.,злиття,"Юридичне об’єднання двох або більше корпорацій в одну юридичну особу, активи та зобов’язання, як правило, бере на себе сторона-покупець.",P1,"The merger definition miscoordinates the resulting entity, assets, and liabilities and obscures the legal relationship.",clean-candidate,merger → «злиття»; definition (the legal combination of two or more corporations into one legal entity) is accurate; noun POS matches.,бере на себе сторона-покупець,P1,medium,grammar-syntax,«активи та зобов’язання … бере на себе сторона-покупець» miscoordinates number/agent and garbles which party assumes what; Pass A's syntax defect is confirmed.,definitionUa,"Юридичне об’єднання двох або більше компаній в одну, за якого активи й зобов’язання переходять до об’єднаної компанії."
SB-1162,supposedly,adv.,нібито,Як питання припущення; у переконаннях або згідно з твердженнями деяких людей.,P2,«Як питання припущення» is a stiff literal calque.,clean-candidate,supposedly → «нібито»; definition (as a matter of supposition; according to some claims) is accurate; adverb POS matches.,Як питання припущення,P2,medium,calque-russianism,«Як питання припущення» is a stiff literal calque of 'as a matter of supposition'; conveys the sense but is unidiomatic (Pass A P2).,definitionUa,"За припущенням або за твердженнями інших, без певного підтвердження."
SB-1521,parallel,word family,паралельний,У всіх точках однаково віддалені один від одного.,P1,Plural «віддалені» does not agree with singular паралельний.,clean-candidate,parallel → «паралельний»; definition (equidistant at all points) is accurate; adjective POS matches.,однаково віддалені один від одного,P2,medium,number-agreement,"DIVERGENCE from Pass A (P1): «У всіх точках однаково віддалені один від одного» is a valid, if telegraphic, description of parallelism — «віддалені» agrees with the implied points/lines, not the headword — so this is minor style (P2), not a material grammar defect.",definitionUa,"Такий, що в усіх точках залишається на однаковій відстані від іншої лінії чи площини."
SB-1141,substantial,adj.,істотний,"Великі за розміром, кількістю або вартістю; достатній; значний.",P1,Plural «Великі» does not agree with the singular adjective істотний.,clean-candidate,"substantial → «істотний»; definition (large in size, amount or value; considerable) is accurate; adjective POS matches.",Великі за розміром,P2,medium,grammar-syntax,"«Великі» is plural where the singular adjective істотний is being defined — a real agreement slip, but the meaning is clear, so P2 (Pass A graded P1; the error is a minor inflection).",definitionUa,"Значний за розміром, кількістю, вартістю або важливістю."
SB-1241,troubled,adj.,стурбований,"Тривожний, стурбований, змучений турботами.",P2,"«Тривожний» can mean causing anxiety, while troubled here means worried or burdened by problems.",clean-candidate,"troubled → «стурбований»; definition (anxious, worried, tormented by cares) is accurate; adjective POS matches.",Тривожний,P2,medium,semantic-fidelity,"leading «Тривожний» can mean anxiety-causing, whereas troubled = worried/burdened; a mild sense drift with the correct gloss present, so P2 (Pass A).",definitionUa,"Стурбований, занепокоєний або обтяжений проблемами."
